City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,seven pagodas,12.6264,80.1722,25.56,77,34,3.66,IN,1729895690
1,jamestown,42.097,-79.2353,12.8,66,75,2.57,US,1729895691
2,college,64.8569,-147.8028,-4.75,80,20,0.45,US,1729895692
3,hawaiian paradise park,19.5933,-154.9731,24.94,98,100,1.54,US,1729895693
4,iqaluit,63.7506,-68.5145,-1.15,80,75,4.63,CA,1729895694
5,port mathurin,-19.6833,63.4167,23.41,90,100,8.32,MU,1729895695
6,hithadhoo,-0.6,73.0833,27.42,71,7,2.9,MV,1729895697
7,vilyuchinsk,52.9306,158.4028,4.15,72,34,2.84,RU,1729895698
8,le port,-20.9373,55.2919,22.98,81,85,2.62,RE,1729895699
9,xinpu,34.5997,119.1594,15.28,88,4,2.23,CN,1729895700
10,yaren,-0.5472,166.916,27.41,73,19,1.78,NR,1729895701
11,tual,-5.6667,132.75,27.92,74,71,7.13,ID,1729895702
12,bethel,41.3712,-73.414,13.05,55,0,1.34,US,1729895703
13,codrington,-38.2667,141.9667,14.18,47,65,4.97,AU,1729895704
14,port hueneme,34.1478,-119.1951,25.79,69,0,3.6,US,1729895706
15,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1729895707
16,kapa'a,22.0752,-159.319,28.18,72,0,3.6,US,1729895708
17,boi,9.5683,9.4953,22.62,56,94,1.85,NG,1729895709
18,loxstedt,53.4667,8.65,10.61,96,6,1.33,DE,1729895710
19,neftekumsk,44.6667,44.9167,8.95,75,100,4.87,RU,1729895711
20,grytviken,-54.2811,-36.5092,1.21,99,100,0.44,GS,1729895712
21,tura,25.5198,90.2201,20.8,95,100,1.89,IN,1729895713
22,kyzyl,51.7,94.45,3.43,69,100,1.03,RU,1729895715
23,fort bragg,35.139,-79.006,23.91,39,0,2.57,US,1729895679
24,puerto natales,-51.7236,-72.4875,5.25,93,100,10.29,CL,1729895717
25,adamstown,-25.066,-130.1015,21.1,76,100,7.12,PN,1729895718
26,olonkinbyen,70.9221,-8.7187,-0.22,93,100,12.89,SJ,1729895719
27,waitangi,-43.9535,-176.5597,14.9,98,95,1.79,NZ,1729895720
28,hermanus,-34.4187,19.2345,11.56,89,0,4.62,ZA,1729895721
29,anadyr,64.75,177.4833,-2.72,73,75,7.0,RU,1729895723
30,ilulissat,69.2167,-51.1,-0.99,86,75,5.66,GL,1729895724
31,edinburgh of the seven seas,-37.0676,-12.3116,12.07,61,100,2.91,SH,1729895725
32,bilibino,68.0546,166.4372,-15.51,87,100,1.22,RU,1729895726
33,uturoa,-16.7333,-151.4333,25.66,77,90,11.48,PF,1729895727
